,Area,WC,PN,Price,Floor,HouseType,Location
6116,85.0,3.0,3.0,4.7,2.0,5.5437090053763445,4.4555384615384614
6117,60.0,2.0,3.0,5.7,2.0,5.5437090053763445,7.197767857142857
6118,42.0,3.0,3.0,6.95,1.0,5.5437090053763445,6.861441441441442
6119,27.0,3.0,3.0,3.2,3.0,5.5437090053763445,7.340891402714932
6120,65.0,2.3333333333333335,2.0,3.3,2.0,5.5437090053763445,5.583661764705883
6121,27.0,3.0,3.0,3.4,3.0,5.5437090053763445,7.340891402714932
6123,55.0,2.3333333333333335,2.6666666666666665,3.0,1.0,5.5437090053763445,5.583661764705883
6124,62.0,3.0,4.0,4.5,2.0,7.485200839463087,4.4488392857142856
6125,62.0,2.0,2.0,3.9,2.0,5.5437090053763445,5.2687857142857135
6126,85.0,3.0,3.0,3.95,2.0,5.5437090053763445,6.42252427184466
6128,48.0,4.0,4.0,4.18,2.0,5.5437090053763445,6.305351941747572
6129,48.0,2.0,2.0,4.18,2.0,5.5437090053763445,6.305351941747572
6130,107.0,3.0,3.0,5.2,1.0,5.5437090053763445,6.42252427184466
6131,56.0,3.0,2.0,5.5,2.6666666666666665,5.5437090053763445,5.831480472297911
6132,70.33333333333333,5.0,4.0,9.2,4.0,5.5437090053763445,5.583661764705883
6133,52.0,2.0,2.0,9.1,2.0,7.485200839463087,6.308395494367961
6134,84.0,5.0,4.0,7.3,4.0,5.5437090053763445,5.831480472297911
6135,60.0,2.0,2.0,3.75,2.0,5.5437090053763445,5.583661764705883
6136,80.0,5.0,4.0,6.2,3.0,5.5437090053763445,4.2203448275862065
6137,25.0,2.0,2.0,3.4,2.0,5.5437090053763445,6.42252427184466
6138,56.0,4.333333333333333,3.6666666666666665,6.95,1.0,5.5437090053763445,6.42252427184466
6142,50.0,3.6666666666666665,3.6666666666666665,6.6,1.0,5.5437090053763445,6.42252427184466
6143,47.0,3.0,3.0,4.5,3.0,5.5437090053763445,5.624838426204724
6145,75.0,5.0,4.0,9.0,1.0,5.5437090053763445,5.583661764705883
6146,96.0,2.6666666666666665,3.3333333333333335,7.8,4.0,5.5437090053763445,6.42252427184466
6147,118.0,4.333333333333333,4.0,9.7,4.0,7.485200839463087,6.42252427184466
6148,96.0,3.3333333333333335,2.6666666666666665,8.0,1.0,7.485200839463087,6.42252427184466
6156,150.0,3.0,2.0,2.5,1.0,5.5437090053763445,6.308395494367961
6158,117.0,6.0,4.0,12.0,4.0,5.5437090053763445,5.583661764705883
6159,80.0,3.0,4.0,4.7,2.0,7.485200839463087,5.2687857142857135
6160,45.0,5.0,5.0,5.7,4.0,7.485200839463087,7.340891402714932
